Name,Type,Hours,Accessible,Lat,Long
Andiamo,clothes,Mo 09:30-17:00; Tu-Fr 09:30-17:30; Sa 10:00-17:00,,55.9365297,-3.2073726
Bruntsfield News,newsagent,,,55.9368144,-3.2072231
Indigo Hairdressing,hairdresser,,,55.9369169,-3.2070498
Soprano Ice,beauty,,,55.9368822,-3.2071085
Dig-in,greengrocer,,,55.9367713,-3.2072962
ooh! ruby shoes,shoes,,,55.9367919,-3.2072613
Gordon Stevenson Violins,musical_instrument,,,55.9396249,-3.2041387
Sirs,hairdresser,"Mo,Th 08:30-17:30;Tu,We 08:30-19:00;Fr 09:00-17:30;Sa 08:00-15:00",,55.9396564,-3.2042847
Costcutter,convenience,,,55.9523416,-3.1133098
McColls,convenience,,,55.9535969,-3.1152881
Evans Cycles,bicycle,,,55.9441930,-3.2068338
Tesco Express,supermarket,Mo-Su 06:00-00:00,yes,55.9430622,-3.2092408
Cotswold,outdoor,,,55.9524733,-3.1982130
Tiso,outdoor,,,55.9519793,-3.2020879
Hutchison Newsagent,convenience,,,55.9290539,-3.2435667
Sandy's Barber Shop,hairdresser,,,55.9290846,-3.2434287
Next,clothes,,,55.9514111,-3.2012078
University Gift Shop,gift,Mo-Sa 09:30-17:30,,55.9449949,-3.1876964
Potter Shop,convenience,,,55.9460853,-3.1884605
Sainsbury's Local,convenience,Mo-Su 07:00-23:00,,55.9759198,-3.1688863
Tesco Express,convenience,,,55.9732269,-3.1757642
Bonaly Store,convenience,,,55.9010733,-3.2592819
John Lewis,department_store,,yes,55.9553640,-3.1875110
Sainsbury's Local,convenience,Mo-Su 07:00-23:00,,55.9564271,-3.2026401
Debra,charity,,yes,55.9379417,-3.1933894
Magnet kitchen showroom,furniture,,yes,55.9615630,-3.1799851
Glam Nail Bar,hairdresser,,yes,55.9617936,-3.1797794
Tailor,tailor,,limited,55.9618580,-3.1796927
Urbantek,computer,,yes,55.9618910,-3.1796482
Smart Buzz Travel Link,travel_agency,,yes,55.9618192,-3.1797449
Clark's Foodstore,convenience,,,55.9696933,-3.1722263
Euro Foods - Polski Skelp,convenience,,,55.9691127,-3.1727428
All Togther,charity,,,55.9691887,-3.1726833
+48 Tattoo Saloon,tattoo,,,55.9653733,-3.1759068
Gamesmasters,computer,,,55.9653570,-3.1759212
Storries Home Bakery,bakery,,,55.9654170,-3.1758684
Co-operative,supermarket,,,55.9518428,-3.3045734
Lloyds Pharmacy,chemist,,,55.9518788,-3.3043713
High Spirit Drinks,alcohol,,,55.9347252,-3.2318214
Farmfoods,supermarket,,yes,55.9453098,-3.1841497
Edina Lock & Key Co. Ltd.,doityourself,,,55.9621259,-3.2002093
Iceland,convenience,"Mo-Sa 09:00-18:30; Th,Fr 09:00-19:00; Su 10:00-17:30",,55.9422885,-3.2851064
,vacant,,yes,55.9397814,-3.1797976
Lothian Bike Shed,bicycle,,,55.8692196,-3.0690614
Wickes,doityourself,,,55.9381502,-3.2433363
Gordon Wilson,hairdresser,,,55.9371511,-3.1785019
Crew,hairdresser,,,55.9371286,-3.1786065
Robert Murray Stamp Shop,books,,,55.9710676,-3.2093363
Robert Murray Stamp Shop,books,,,55.9710423,-3.2098425
Sainsburys Local,supermarket,Mo-Su 07:00-23:00,,55.9424940,-3.2818573
True Test,car_repair,,,55.9318887,-3.1780643
Vino Wines,alcohol,,,55.9338890,-3.1785006
Vino Wines,alcohol,,,55.9244380,-3.2101197
Austen Thomson,hairdresser,,,55.9752561,-3.1791314
Downes Leith Opticians,optician,,,55.9755280,-3.1788431
Alpha Trophies,engraving,,,55.9744843,-3.1842846
Executive Launderette,dry_cleaning,,yes,55.9744993,-3.1841934
Scotbet,bookmaker,,,55.9741706,-3.1860656
The Village Store,convenience,,,55.9737789,-3.1886995
Coral,bookmaker,,,55.9710442,-3.2075056
Morrison's Bakery,bakery,,,55.9460037,-3.2122493
Appellation Wines,alcohol,,,55.9446899,-3.2176130
Greggs,bakery,,,55.9466560,-3.2163830
Gregg's,bakery,,,55.9448417,-3.2174972
City Laundry and Ironing Service,laundry,,,55.9450555,-3.2177623
Greggs,bakery,,,55.9424799,-3.2816617
Greggs,bakery,,,55.9713034,-3.2524594
Build-a-bear Workshop,toys,,,55.9510384,-3.2033844
Carphone Warehouse,mobile_phone,,,55.9506655,-3.2055766
,vacant,,,55.9498208,-3.2085468
Coral,bookmaker,,,55.9496768,-3.2088827
Currys PCWorld,electronics,,yes,55.9510028,-3.2035937
Flight Centre,travel_agency,,,55.9506719,-3.2095534
Three,mobile_phone,,,55.9506475,-3.2056826
HMV,video,,,55.9507694,-3.2049656
Holland & Barrett,health_food,,,55.9500433,-3.2087914
Rae Macintosh,musical_instrument,,,55.9495163,-3.2092686
McGraths,optician,,,55.9506138,-3.2094202
Mountain Warehouse,outdoor,,,55.9508425,-3.2045363
New Look,clothes,,,55.9509223,-3.2040671
O2,mobile_phone,,,55.9505828,-3.2062515
Oddbins,alcohol,,,55.9503708,-3.2089074
Optical Express,optician,,,55.9497350,-3.2087493
EE,mobile_phone,,,55.9506921,-3.2054202
Patissier Maxine,bakery,,,55.9504108,-3.2089957
Sainsbury's Local,supermarket,Mo-Su 06:00-23:00,,55.9497489,-3.2095479
Scotbet,bookmaker,,,55.9502957,-3.2087397
Specsavers Opticians,optician,,,55.9499878,-3.2089218
Thomson,travel_agency,,,55.9505410,-3.2092474
Urban Outfitters,clothes,,,55.9508889,-3.2042633
Edinburgh Woollen Mill,clothes,,,55.9504862,-3.2068246
Allsaints,clothes,,,55.9516375,-3.1998692
Ann Summers,erotic,,,55.9519008,-3.1984149
Clarks,shoes,,,55.9520858,-3.1973443
Samsung,mobile_phone,,,55.9519248,-3.1982756
Footlocker,shoes,,,55.9519471,-3.1981468
Gap,clothes,,,55.9520088,-3.1977897
H&M,clothes,,,55.9519841,-3.1979326
Hotter,shoes,,,55.9512388,-3.2022267
Levi's,clothes,,,55.9513709,-3.2014456
Office,shoes,,,55.9521310,-3.1970825
Russell Bromley,shoes,,,55.9514425,-3.2010226
Size?,clothes,,,55.9519106,-3.1994290
Superdrug,cosmetics,,,55.9520617,-3.1974837
The Body Shop,cosmetics,,,55.9518846,-3.1985084
The Perfume Shop,perfume,,,55.9512004,-3.2024540
Lush Spa,perfume,,,55.9512129,-3.2023801
Thomas Sabo,jewelry,,,55.9516018,-3.2000800
Ben's Cookies,confectionery,,,55.9512255,-3.2023055
USC,clothes,,,55.9517396,-3.1993336
Zara,clothes,,,55.9514787,-3.2008085
fat face,clothes,,,55.9531997,-3.2002068
Cath Kidston,clothes,,,55.9529896,-3.1991497
Charles Tyrwhitt,clothes,,,55.9531227,-3.1983631
Jones,shoes,,,55.9532570,-3.1975697
Kiehl's,beauty,,,55.9530322,-3.1988979
Lakeland,kitchen,,,55.9533055,-3.1968297
TM Lewin,clothes,,,55.9531427,-3.1982449
Trotters opticians,optician,,,55.9531760,-3.1980483
Margiotta,convenience,,,55.9374561,-3.2171083
Al-Halal,convenience,,,55.9385020,-3.2179588
EH11,hairdresser,,,55.9375838,-3.2164066
Shelter,charity,,,55.9451003,-3.2173120
Mint,beauty,,,55.9450612,-3.2173404
Jim's Barbers,hairdresser,,,55.9449469,-3.2174267
Aqua Vapor,e-cigarette,,,55.9449200,-3.2174466
Dudes & Divas,hairdresser,,,55.9448983,-3.2174596
Stitch Express,tailor,,,55.9446032,-3.2176790
Wallaces,electrical_appliance,,,55.9436294,-3.2190625
Salvation Army,charity,,,55.9432123,-3.2201084
Scotts,newsagent,,,55.9431191,-3.2203108
Tesco Express,supermarket,Mo-Su 06:00-23:00,,55.9460513,-3.2224536
Scotmid,convenience,Mo-Su 07:00-22:00,,55.9460165,-3.2204442
Bike Smith,bicycle,,,55.9460152,-3.2203544
Tesco Express,convenience,Mo-Su 06:00-23:00,,55.9453178,-3.2334068
Hobs Reprographics,copyshop,,,55.9462728,-3.2139352
McColl's,convenience,,,55.9467974,-3.2160819
Costcutter,convenience,,,55.9467288,-3.2162398
Co-operative Food,supermarket,Mo-Su 06:00-23:00,,55.9493968,-3.2095231
Sweet Service,newsagent,,,55.9517391,-3.2125828
George Bower,butcher,,,55.9590449,-3.2133693
G Armstrong,seafood,,,55.9592433,-3.2131872
Crombie's of Edinburgh,butcher,,,55.9586606,-3.1898701
Sainsbury's Local,supermarket,Mo-Su 07:00-23:00,,55.9359530,-3.2090040
Blackwells,books,,limited,55.9478310,-3.1861334
Prego Local,convenience,,,55.9446309,-3.2513641
John Brash,butcher,,,55.9447464,-3.2502929
Sterling,furniture,,,55.9384979,-3.2423099
Premier,convenience,,,55.9452542,-3.2172002
Waterstone's,books,,,55.9529704,-3.2016563
Costcutter,convenience,,,55.9459535,-3.2111220
Milton Convenience Store,convenience,,,55.9436374,-3.1175794
M. Azhar Newsagent,newsagent,,,55.9546852,-3.1491350
Willowbrae Convenience Store,convenience,,,55.9547559,-3.1492399
High & Mighty,clothes,,,55.9512409,-3.2032056
Trailfinders,travel_agency,,,55.9514709,-3.2033360
Day-Today,convenience,,,55.9518600,-3.2028724
Paperchase,stationery,,,55.9530393,-3.2012412
Links,jewelry,,,55.9551443,-3.1920326
Burberry,clothes,,,55.9551900,-3.1917491
Mulberry,clothes,,,55.9552185,-3.1915725
Tesla,car,,,55.9552387,-3.1914470
Nespresso,coffee,,,55.9551089,-3.1913231
Reiss,clothes,,,55.9551241,-3.1912375
JoJo Maman Bebe,clothes,,,55.9552550,-3.1913461
Tommy Hilfiger,clothes,,,55.9551361,-3.1911696
North America Travel Service,travel_agency,,,55.9550789,-3.1909691
Kurt Geiger,shoes,,,55.9553106,-3.1910009
Boss,clothes,,,55.9552751,-3.1906765
Swarovski,jewelry,,,55.9551179,-3.1907064
Pandora,jewelry,,,55.9551317,-3.1906138
Pepperberry,clothes,,,55.9551447,-3.1905257
Sole,shoes,,,55.9551578,-3.1904375
Miss Selfridge,clothes,,,55.9525192,-3.1964600
Virgin Media,yes,,,55.9524214,-3.1969832
JD,sports,,,55.9523652,-3.1969523
Crabtree & Evelyn,gift,,,55.9522868,-3.1969092
The Bicycle Works,bicycle,"Mo-Fr 08:00-20:00; Sa,Su 09:00-18:00",,55.9387449,-3.1916318
River Island,clothes,,,55.9513361,-3.2016517
Swarovski,jewelry,,,55.9515758,-3.2002338
EE,mobile_phone,,,55.9518029,-3.1989813
International Newsagents,newsagent,,,55.9498171,-3.1911893
Warhammer,video_games,,,55.9497794,-3.1891002
Argos,general,,,55.9510084,-3.1876316
Patisserie Valerie,bakery,,,55.9505271,-3.1874272
J & S Newsagents,newsagent,,,55.9503579,-3.1879003
Premier,convenience,,,55.9477844,-3.1954795
Lifestyle Express,convenience,,,55.9478809,-3.2059454
Hamilton & Young Jewellery Desigers,jewelry,,,55.9514029,-3.1802859
Historic Connections Jewellery Designers,jewelry,,,55.9503734,-3.1852186
Castle Fine Art,art,,,55.9551052,-3.1907919
Pen Shop,accessories,,,55.9550932,-3.1908729
Whistles,clothes,,,55.9528078,-3.2027141
Jo Malone,fragrance,,,55.9528404,-3.2024386
White Stuff,clothes,,,55.9528934,-3.2021195
Hamilton & Inches,jewelry,,,55.9529148,-3.2019912
Arran Aromatics,perfumery,,,55.9532791,-3.1997367
Jack Wills,clothes,,,55.9532620,-3.1998379
Sweaty Betty,clothes,,,55.9532400,-3.1999681
Co-operative Food,convenience,Mo-Su 07:00-22:00,,55.9525393,-3.2004241
Speedy Hire,hardware,,,55.9423929,-3.2291543
Trespass,outdoor,,,55.9590323,-3.2432727
maddie & mark's shoes,shoes,,,55.9574517,-3.2500730
Aitken & Niven,clothes,,,55.9575448,-3.2493757
Mace,convenience,Mo-Sa 07:00-20:00; Su 07:00-18:00,,55.9571279,-3.2490414
Bella Hairdressing Salon,hairdresser,,,55.9086975,-3.2285525
Baguette Stop,deli,,,55.9086383,-3.2285131
Iceland,supermarket,,,55.9024661,-3.2880581
Sainsbury's Local,convenience,,,55.8991828,-3.2975585
Kodak Express,photo,,yes,55.9802390,-3.1787250
Space.NK,chemist,,,55.9527382,-3.2031515
Anta,furniture,,,55.9525034,-3.2045956
Under Armour,sports,,,55.9460006,-3.2193648
First XV,sports,,,55.9460020,-3.2194600
schuh,shoes,,,55.9518139,-3.1999701
The North Face,outdoor,,,55.9520701,-3.2001305
Pretty Green,clothes,,,55.9523541,-3.2003082
Barbour,clothes,,,55.9523798,-3.1997161
Radley,handbag,,,55.9518376,-3.1993883
Alistir Wood Tait,jewelry,,,55.9520324,-3.2008808
Robert Anthony,jewelry,,,55.9521045,-3.2005031
Goodwins,jewelry,,,55.9521219,-3.2004075
Rogerson Footwear,shoes,,,55.9519581,-3.2013097
ecco,shoes,,,55.9520877,-3.2014673
Watch,jewelry,,,55.9524277,-3.1997431
John Whyte,jewelry,,,55.9520183,-3.2009622
Trespass,outdoor,,,55.9525275,-3.1997994
Maplin,electronics,Mo-Fr 08:30-20:00; Sa 09:00-18:00; Sa 10:00-18:00,,55.9427728,-3.2215457
Jigsaw,clothes,,,55.9534259,-3.1988679
Moss,clothes,,,55.9535038,-3.1983783
Hobbs,clothes,,,55.9534444,-3.1987584
LK Bennett,clothes,,,55.9534736,-3.1985860
Anthropologie,clothes,,,55.9535248,-3.1982826
Ede & Ravenscroft,clothes,,,55.9534210,-3.2009886
Brora,clothes,,,55.9534741,-3.2010164
Sassoon,hairdresser,,,55.9552719,-3.1912409
Keir Street News,newsagent,,,55.9450566,-3.1973244
Fudge House,confectionery,,,55.9511703,-3.1812601
The Carson Clark Gallery,map;gift,,,55.9512942,-3.1806845
The Herald,newsagent,,,55.9519116,-3.1780741
Co-operative Food,convenience,Mo-Su 06:00-23:00,,55.9620122,-3.1824164
Laura Ashley,clothes,,,55.9534000,-3.1990211
News R Us,newsagent,,,55.9428518,-3.2174205
Appellation Wines,alcohol,,,55.9594456,-3.2188677
,convenience,,,55.9001832,-3.3074057
,butcher,,,55.8973064,-3.3042792
,garden_centre,,,55.9027891,-3.3116409
Left Luggage,left_luggage,,,55.9525153,-3.1885898
Lyon & Turnbull Auctionhouse,antiques,,,55.9590622,-3.1874786
Coast,clothes,,,55.9533046,-3.1995858
Mint Velvet,clothes,,,55.9532425,-3.1976555
Phase Eight,clothes,,,55.9534552,-3.1986944
Jaeger,clothes,,,55.9536081,-3.1977897
lululemon athletica,clothes,,,55.9533476,-3.1993313
McColl's,convenience,,,55.9526280,-3.1965124
Church's,shoes,,,55.9533170,-3.1995128
Bibi's Cake Boutique,bakery,,,55.9529055,-3.1966423
Karen Millen,clothes,,,55.9533834,-3.1991372
Molton Brown,boutique,,,55.9535926,-3.1978815
The Kooples,clothes,,,55.9535624,-3.1980601
Goodwins,jewelry,,,55.9508297,-3.2099102
Duncanson & Edwards,pawnbroker,,,55.9542953,-3.2009135
Harvey Jones,kitchen,,,55.9521555,-3.2030455
Fired Earth,interior_decorartion,,,55.9521244,-3.2030273
Greggs,bakery,,,55.9530315,-3.1960873
Nevisport,outdoor,,,55.9530553,-3.1959315
Farrow & Ball,interior_decoration,,,55.9574353,-3.2068753
best-one,convenience,,,55.9397448,-3.1830053
Clan,car_repair,,,55.9426764,-3.2372303
JB McLean Interiors,furniture,,,55.9431776,-3.2358808
Collinson Ceramics,houseware,,,55.9428849,-3.2366327
Roseburn Garage,car_repair,,,55.9427282,-3.2370770
JRM Coachworks,car_repair,,,55.9433234,-3.2355660
Craighead & Woolf,kitchen,,,55.9512402,-3.2100013
Gallery Ten,art,,,55.9494070,-3.2111644
Belle-Eve,hairdresser,,,55.9509189,-3.2101081
Remus,interior_decoration,,,55.9496299,-3.2114546
Run And Become,sports,,,55.9509613,-3.2102080
Paper Tiger,gift,,,55.9493342,-3.2110431
City Barbers,hairdresser,,,55.9511559,-3.2101110
,convenience,,,55.9511104,-3.2100145
James Ness,jewelry,,,55.9508082,-3.2093728
Studio One,gift,,,55.9494552,-3.2112394
James Alexander,hairdresser,,,55.9509381,-3.2101548
Ruffians,hairdresser,,,55.9511972,-3.2101988
Shuropidy,shoes,,,55.9497661,-3.2086847
Boscolo Bathrooms,bathroom_furnishing,,,55.9574064,-3.2067026
Vincent Bell,hairdresser,,,55.9574624,-3.2070378
Jeffreys Interiors,interior_decoration,,,55.9573186,-3.2061776
Ted & Muffy,shoes,,,55.9513152,-3.2032458
His Hair,hairdresser,,,55.9517941,-3.2126964
Cheynes,hairdresser,,,55.9562020,-3.1892738
Villeneuve Wines,alcohol,,,55.9577516,-3.1886297
Natural Selection Food,yes,,,55.9577243,-3.1885132
Life Story,gift,,,55.9590063,-3.1908424
Paige Connor,hairdresser,,,55.9581787,-3.1898419
Vino,alcohol,,,55.9579184,-3.1894493
Broughton News,newsagent,,,55.9578931,-3.1894080
Narcissus,florist,,,55.9583296,-3.1895278
Coco Chocolate,confectionery,,,55.9580612,-3.1891114
Allan Hair,hairdresser,,,55.9580147,-3.1890391
Curiouser,gift,,,55.9586140,-3.1898174
Bentley,car,,,55.9305476,-3.1050752
Ferrari,car,,,55.9304415,-3.1053765
Lamborghini,car,,,55.9303021,-3.1056599
Bank,clothes,,,55.9340114,-3.1041555
Vodafone,mobile_phone,,,55.9339406,-3.1041801
Mountain Warehouse,outdoor,,,55.9332389,-3.1049239
Thomas Cook,travel_agency,,,55.9331468,-3.1050890
Card Factory,gift,,,55.9342051,-3.1040865
Three,mobile_phone,,,55.9340848,-3.1041207
Claire's,boutique,,,55.9334240,-3.1047978
O2,mobile_phone,,,55.9342396,-3.1039631
New Look,clothes,,,55.9337475,-3.1042582
WH Smith,newsagent,,,55.9329845,-3.1078170
Jacamo,clothes,,,55.9328841,-3.1082272
Superdrug,chemist,,,55.9317925,-3.1080510
Monsoon,clothes,,,55.9329225,-3.1080755
H Samuel,jewelry,,,55.9329559,-3.1075423
Game,computer,,,55.9317352,-3.1079979
Accesorize,boutique,,,55.9329432,-3.1079781
O2,mobile_phone,,,55.9553739,-3.1886075
Thorntons,confectionery,,,55.9541821,-3.1884083
AMERIkandy,confectionery,,,55.9552361,-3.1900199
H Samuel,jewelry,,,55.9548458,-3.1882125
Burton,clothes,,,55.9548865,-3.1882869
Warren James,jewelry,,,55.9554219,-3.1890140
I Luv Scotland,gift,,,55.9554385,-3.1894149
Next,clothes,,,55.9552478,-3.1883304
Accessorize,boutique,,,55.9547263,-3.1882280
Mountain Warehouse,outdoor,,,55.9552903,-3.1884240
JD,sports,,,55.9553174,-3.1900698
Perfume Shop,beauty,,,55.9546473,-3.1882587
McColl's,newsagent,,,55.9553052,-3.1887053
Carphone Warehouse,mobile_phone,,,55.9545449,-3.1882854
Razor Sharp,hairdresser,,,55.9553577,-3.1888174
Clintons,gift,,,55.9546233,-3.1884108
Garage,shoes,,,55.9547023,-3.1883663
Claire's,boutique,,,55.9547934,-3.1883184
Millie's Cookies,confectionery,,,55.9554809,-3.1891644
Card Factory,gift,,,55.9550558,-3.1885925
Tiger,variety_store,,,55.9551845,-3.1885196
Sports Direct,sports,,,55.9553844,-3.1897075
River Island,clothes,,,55.9554217,-3.1887116
Books4Less,books,,,55.9542945,-3.1885490
Superdrug,chemist,,,55.9552816,-3.1897851
Ryman,stationery,,,55.9554511,-3.1887924
Michael Kors,clothes,,,55.9550953,-3.1914005
Barrhead Travel,travel_agency,,,55.9543952,-3.1884949
EE,mobile_phone,,,55.9545392,-3.1884413
Wallis,clothes,,,55.9549314,-3.1883690
Poundland,variety_store,,,55.9553942,-3.1891314
Dorothy Perkins,clothes,,,55.9550167,-3.1885249
ManKind,toys,,,55.9554115,-3.1895611
Officers Club,clothes,,,55.9549759,-3.1884502
Hawkin's Bazaar,toys,,,55.9553638,-3.1893091
Quiz,clothes,,,55.9553300,-3.1885213
Ernest Jones,jewelry,,,55.9544020,-3.1883318
Radiator Studio,hardware,,,55.9730066,-3.1941848
Lochrin Autos,car_repair,,,55.9421808,-3.2047764
Provenance Wines,alcohol,,,55.9428086,-3.2033918
View Forth Grocers,newsagent,,,55.9398982,-3.2120884
Viewforth Glazing,house,,,55.9397068,-3.2118157
Black & Lizars,optician,,,55.9462467,-3.2059633
Sainsbury's Local,supermarket,Mo-Su 07:00-23:00,,55.9439171,-3.2042409
Tattoo Studio,yes,,,55.9399018,-3.2113835
James Morrow,hifi,,,55.9435206,-3.2032854
Bike Trax,bicycle,,,55.9424283,-3.2042531
Run 4 It,sports,,,55.9460793,-3.2059084
NTP,kitchen,,,55.9731309,-3.1817203
GDK,kitchen,,,55.9729499,-3.1815900
Specsavers,optician,,,55.9277909,-3.2095894
Age Scotland,charity,,,55.9443843,-3.1835306
Barnardo's,charity,,,55.9444608,-3.1835632
British Heart Foundation,charity,,,55.9445840,-3.1836157
Cancer Research UK,charity,,,55.9440477,-3.1833972
Capability Scotland,charity,,,55.9455300,-3.1848508
"Chest, Heart and Stroke Scotland",charity,,,55.9376928,-3.1785779
Marie Curie Cancer Care,charity,,,55.9454074,-3.1842782
PDSA,charity,,,55.9451480,-3.1844761
Salvation Army,charity,,,55.9380518,-3.1783866
Signage,copyshop,,,55.9375330,-3.1783784
Edinburgh Bike Tours,bicycle,,,55.9763771,-3.1678937
Andean Trails Limited,travel_agency,,,55.9763676,-3.1718236
Daziels,car_repair,,,55.9765223,-3.1766443
Great Grogg,alcohol,,,55.9766076,-3.1763937
Bernard Grocers,convenience,,,55.9761028,-3.1685561
Cork & Cask,alcohol,,,55.9351610,-3.1943978
Andrew May Wind Instrument Repair,music,,,55.9419808,-3.2042868
Aroosa Boutique,clothes,,,55.9420009,-3.2041515
Chameleon,hairdresser,,,55.9399527,-3.2119552
Dough Re Mi,bakery,,,55.9399803,-3.2118878
"Hospice of Hope, Romania",charity,,,55.9421394,-3.2037248
Dough Re Mi,bakery,,,55.9398206,-3.2115635
Khyber,newsagent,,,55.9418302,-3.2052961
Pins & Needles,craft,,,55.9419492,-3.2044743
Swanson Decorators,paint,,,55.9399294,-3.2120121
The Pine Tree Bakery,bakery,,,55.9420894,-3.2037121
Thrift Shop 2,second_hand,,,55.9419570,-3.2044149
Sun Home,yes,,,55.9398639,-3.2114676
Looks Vintage,yes,,,55.9397923,-3.2116257
myBearpaw,gift,,,55.9418662,-3.2050538
2U Beauty,beauty,,,55.9419401,-3.2045593
Kami,hairdresser,,,55.9418486,-3.2051731
best-one,convenience,,,55.9764297,-3.1661162
Frost Health and Beauty,beauty,,,55.9569415,-3.1569060
Premier,convenience,Mo-Su 06:30-22:00,,55.9423135,-3.2790950
Majestic Wine,alcohol,,,55.9601186,-3.2955546
Bayne's,bakery,,,55.9600977,-3.2957282
Polwarth Garage,car_repair,,,55.9386778,-3.2156820
Shrub: Swap&ReuseHub,doityourself,,,55.9481768,-3.1884842
Raeburn Fine Wines,alcohol,,,55.9591985,-3.2155037
Tesco Express,convenience,,,55.9268380,-3.2326390
Capability Scotland,charity,,,55.9586823,-3.2095871
Annie Smith,jewelry,,,55.9589932,-3.2102545
Henderson,art,,,55.9590551,-3.2109166
Cancer Research UK,charity,,,55.9590746,-3.2111579
Herbie,deli,,,55.9592149,-3.2128020
"Chest, Heart & Stroke",charity,,,55.9590360,-3.2132731
Sculleries,kitchen,,,55.9574140,-3.2078517
Raeburn Laundrette,laundry,,,55.9589774,-3.2125599
Gordon Fraser,hairdresser,,,55.9580264,-3.2092912
Daisy Cheynes,gift,,,55.9589561,-3.2122981
Barnardo's,charity,,,55.9585224,-3.2094139
abc hearing,hearing_aids,,,55.9587385,-3.2096425
Banks,florist,,,55.9590633,-3.2110184
Sharon Robertson Hair,hairdresser,,,55.9578465,-3.2081435
Flavours,travel_agency,,,55.9590095,-3.2129542
Green Grocer,convenience,,,55.9583585,-3.2091516
Saorsa Art Gallery,art,,,55.9580593,-3.2093396
The Write Stuff,stationery,,,55.9589390,-3.2120876
Boombarbers,hairdresser,,,55.9582350,-3.2095983
Bliss,baby_goods,,,55.9588008,-3.2103889
simplyfixit,computer,,,55.9590318,-3.2106265
Geluja,gift,,,55.9590668,-3.2110611
Galerie Mirages,art,,,55.9593054,-3.2122286
Goodfellow & Steven,bakery,,,55.9592529,-3.2133182
Rock Paper Scissors,hairdresser,,,55.9590521,-3.2134471
Stockbridge Store,convenience,,,55.9578024,-3.2080567
Pencig,e-cigarette,,,55.9589934,-3.2127563
debra,charity,,,55.9584326,-3.2092525
Kim McGregor,hairdresser,,,55.9589512,-3.2122374
Just Dogs,pet,,,55.9580993,-3.2093985
GirCo,interior_decoration,,,55.9588976,-3.2115787
Eden,clothes,,,55.9574148,-3.2067531
Dick's,clothes,,,55.9572475,-3.2057525
Sheila Fleet,jewelry,,,55.9575877,-3.2069189
Catalog Ltd,houseware,,,55.9578831,-3.2068718
Gorgeous,hairdresser;beauty,,,55.9598011,-3.2066873
Spanish Fine Foods,deli,,,55.9572932,-3.2074458
Aesop,cosmetics,,,55.9572886,-3.2060019
Antiques,antiques,,,55.9576678,-3.2072566
Frank Lindsay,hairdresser,,,55.9576139,-3.2068688
Vagabond,hairdresser,,,55.9579353,-3.2067737
Reiss,hairdresser,,,55.9597146,-3.2068490
Alpha Art,art,,,55.9588611,-3.2073945
Vino,alcohol,,,55.9573580,-3.2077299
Ian Smith Design,interior_decoration,,,55.9574455,-3.2069368
New Town Desigh,interior_decoration,,,55.9572602,-3.2058285
Bethany,charity,,,55.9587202,-3.2075403
The Floatarium,beauty,,,55.9573121,-3.2075607
Rose Street Barbers,hairdresser,,,55.9516492,-3.2041010
The Players Lounge,hairdresser,,,55.9514844,-3.2050989
Joules,clothes,,,55.9538007,-3.1968654
Daniel Henderson,jewelry,,,55.9514207,-3.2045713
Georgian Antiques,antiques,,,55.9735013,-3.1634192
EUSA JMCC Shop,convenience,,,55.9401289,-3.1698778
The Chocolate Moose,confectionery,,yes,55.9450302,-3.1886102
Levenhall Post Office,Newsagents,,,55.9446568,-3.0255429
Hawico,clothes,,,55.9475572,-3.1947246
Hawes & Curtis,clothes,,,55.9529708,-3.1992613
reddog music,musical_instrument,,,55.9471415,-3.1981353
Oliver Bonas,clothes,,,55.9530567,-3.1967132
Dunedin,clothes,,,55.9498323,-3.1881220
Gift World,gift,,,55.9554860,-3.1888570
Rox,jewelry,,,55.9531077,-3.1984519
Kitchens International,kitchen,,,55.9605329,-3.2006547
Broughton Convenience Store,convenience,,,55.9647363,-3.1916447
Treehouse,clothes,,,55.9580455,-3.2081675
Babu,hairdresser,,,55.9361804,-3.1940532
Optical Express,optician,,,55.9437222,-3.1832653
Sheila's,seafood,,,55.9362266,-3.1940570
Ishi,hairdresser,,,55.9382400,-3.1919596
Marchmont Hardware,hardware,,,55.9379934,-3.1917172
Vintage Hair Company,hairdresser,,,55.9348178,-3.1943606
Salut,deli,,,55.9455700,-3.1906242
Fruit Corner,greengrocer,,,55.9382400,-3.1922013
Nina's Mini market,convenience,,,55.9434323,-3.2022546
,vacant,,,55.9379963,-3.1915666
Lyndsay Brown,optician,,,55.9385002,-3.1946781
Macintosh,hairdresser,,,55.9382400,-3.1923044
Duke's,hairdresser,,,55.9350370,-3.1938751
D Fraser McLeod,deli,,,55.9351271,-3.1944000
Jones,shoes,,,55.9452438,-3.2049759
Timpson,craft,,,55.9453008,-3.2049773
March Hair,hairdresser,,,55.9393149,-3.1948236
W Armstrong & Son,clothes,,,55.9456405,-3.1902225
Bohemia,boutique,,,55.9382533,-3.1929473
Scotmid,convenience,Mo-Su 06:00-24:00,yes,55.9352928,-3.1944500
Hewats,clothes,,,55.9456700,-3.1900713
Futon Company,furniture,,,55.9450869,-3.2055908
Napiers,herbalist,,,55.9458381,-3.1897200
The Edge,hairdresser,,,55.9365420,-3.1947094
Russell Paints,paint,,,55.9384895,-3.1975043
Fruitalicious,greengrocer,,,55.9275946,-3.2095289
,newsagent,,,55.9478164,-3.1914928
Richer Sounds,hifi,,,55.9480844,-3.1870409
